1) UDELCC17100012 - Admission Number does not exist. In excel file row number : 1069
394) 25-05-18 - Cheque amount is not valid. In excel file row number : 3230
395) 22-05-18 - Cheque amount is not valid. In excel file row number : 3231
396) 21-04-18 - Cheque amount is not valid. In excel file row number : 3232
397) 06-06-18 - Cheque amount is not valid. In excel file row number : 3235
398) 25-05-18 - Cheque amount is not valid. In excel file row number : 3236
399) 06-06-18 - Cheque amount is not valid. In excel file row number : 3239
400) 13-06-18 - Cheque amount is not valid. In excel file row number : 3240
401) 31-05-18 - Cheque amount is not valid. In excel file row number : 3241
402) 21-06-18 - Cheque amount is not valid. In excel file row number : 3242
403) 23-06-18 - Cheque amount is not valid. In excel file row number : 3243
404) 22-06-18 - Cheque amount is not valid. In excel file row number : 3244
405) 06-06-18 - Cheque amount is not valid. In excel file row number : 3245
406) 31-07-18 - Cheque amount is not valid. In excel file row number : 3246
407) 28-06-18 - Cheque amount is not valid. In excel file row number : 3247
408) 16-07-18 - Cheque amount is not valid. In excel file row number : 3248
409) 31-07-18 - Cheque amount is not valid. In excel file row number : 3250
410) 04-08-18 - Cheque amount is not valid. In excel file row number : 3251
411) 04-08-18 - Cheque amount is not valid. In excel file row number : 3252
412) 04-08-18 - Cheque amount is not valid. In excel file row number : 3253
413) 06-09-18 - Cheque amount is not valid. In excel file row number : 3254
414) 06-09-18 - Cheque amount is not valid. In excel file row number : 3255
415) 25-09-18 - Cheque amount is not valid. In excel file row number : 3256
416) 25-09-18 - Cheque amount is not valid. In excel file row number : 3257
417) 20-09-18 - Cheque amount is not valid. In excel file row number : 3258
418) 10-08-18 - Cheque amount is not valid. In excel file row number : 3259
419) 11-08-18 - Cheque amount is not valid. In excel file row number : 3260
420) 29-09-18 - Cheque amount is not valid. In excel file row number : 3263
421) 23-09-18 - Cheque amount is not valid. In excel file row number : 3264
422) 10-07-18 - Cheque amount is not valid. In excel file row number : 3265
423) 24-10-18 - Cheque amount is not valid. In excel file row number : 3266
424) 22-09-18 - Cheque amount is not valid. In excel file row number : 3267
425) 29-10-18 - Cheque amount is not valid. In excel file row number : 3268
426) 30-10-18 - Cheque amount is not valid. In excel file row number : 3270
427) 31-10-18 - Cheque amount is not valid. In excel file row number : 3271
428) 30-10-18 - Cheque amount is not valid. In excel file row number : 3273
429) 30-10-18 - Cheque amount is not valid. In excel file row number : 3274
430) 09-10-18 - Cheque amount is not valid. In excel file row number : 3275
431) 30-09-18 - Cheque amount is not valid. In excel file row number : 3276
432) 12-11-18 - Cheque amount is not valid. In excel file row number : 3277
433) 12-11-18 - Cheque amount is not valid. In excel file row number : 3278
434) 24-10-18 - Cheque amount is not valid. In excel file row number : 3279
